Id caso,nombre caso,tipo,Resultado esperado,Resultado obtenido,Criterios de aceptación,Estrategia,Estimación de tiempo ejecución
"011","CP-FUNC-001 - Agrónomo crea solicitud de compra (flujo normal)","Funcional","Solicitud/orden creada correctamente; estado inicial esperado","Pendiente de ejecución","1) Agregar producto al carrito\n2) Crear orden\n3) Respuesta correcta y persistencia","Caja Blanca (API) o Caja Negra (E2E UI)","5 minutos"
"012","CP-FUNC-002 - Rechazo por cantidad inválida en solicitud de compra","Validación","Respuesta 400 al agregar cantidad ≤0","Pendiente de ejecución","1) add_item con cantidad ≤0 retorna 400\n2) Mensaje de error claro","Caja Blanca (API Test)","3 minutos"
"013","CP-FUNC-003 - Operador registra verificación de inventario","Funcional","Ajuste de stock aplicado y movimiento registrado","Pendiente de ejecución","1) Seleccionar 'Ajuste' en modal\n2) Nuevo stock establecido\n3) Mensaje de éxito y actualización de stock","Caja Negra (E2E UI)","3 minutos"
"014","CP-FUNC-004 - Salida por aplicación en cultivo","Funcional","Stock decrementado y movimiento visible en historial","Pendiente de ejecución","1) Seleccionar 'Salida' y definir cantidad\n2) Razón 'Aplicación en cultivo'\n3) Stock disminuye; movimiento aparece en lista","Caja Negra (E2E UI)","3 minutos"
"015","CP-FUNC-005 - Impedir salida mayor al stock disponible","Validación","Operación rechazada con error (400)","Gap actual (UI clampa a ≥0; sin error)","1) Intento de 'out' > stock debe retornar 400\n2) Stock permanece sin cambios","Caja Blanca (API) — inicialmente xfail/skip","5 minutos"
"016","CP-FUNC-006 - Generar reporte de niveles de abastecimiento","Funcional","Reporte creado y visible en listado con métricas","Pendiente de ejecución","1) Click en 'Generar Nuevo Reporte'\n2) Aparece en tabla con datos (stock bajo, sin stock, total)","Caja Negra (E2E UI)","3 minutos"
"017","CP-FUNC-007 - Exportación del reporte a CSV","Funcional","Descarga de CSV con datos correctos","No implementado (gap)","1) Botón/endpoint de exportación disponible\n2) Archivo CSV contiene columnas esperadas","Caja Negra (E2E UI) o Caja Blanca (API) — requiere feature","4 minutos"
"018","CP-FUNC-008 - Alarma de recambio de trampa de cebo","Funcional","Alarma generada conforme reglas definidas","No implementado (gap)","1) Reglas de recambio definidas\n2) Generación y visualización de la alarma","Caja Negra (E2E) — requiere feature","5 minutos"
"019","CP-FUNC-009 - Visualización de datos del tiempo (servicio externo)","Integración","Datos correctos mostrados y actualizados","No implementado (gap)","1) Endpoint de clima disponible\n2) UI muestra valores correctos","Caja Negra (E2E) o Caja Blanca (API) — requiere integración","5 minutos"
"020","CP-FUNC-010 - Envío de comentario vía casilla de sugerencias","Funcional","Comentario enviado y persistido","No implementado (gap)","1) Formulario de sugerencias disponible\n2) Comentario se guarda y se lista","Caja Negra (E2E) — requiere feature","4 minutos"
